id,label,timeset,creditos,tronco,estado
1146041,Laboratorio de Metalurgia Mecanica,,3,INT,0
1151009,Elemento Finito,,9,INT,0
1154016,Estadistica Aplicada I,,9,INT,0
1154029,Analisis y Diseno de Experimentos en Ingenieria,,9,INT,0
1154042,Control de Calidad y Confiabilidad ,,8,INT,0
1154045,Seguridad e Higiene Industrial,,8,INT,0
1154049,200 CREDITOS,,11,NIV,0
1154050,240 CREDITOS,,13,NIV,0
1154051,250 CREDITOS,,15,NIV,0
1154052,280 CREDITOS,,17,NIV,0
1154053,300 CREDITOS,,19,NIV,0
1154054,320 CREDITOS,,21,NIV,0
1154055,350 CREDITOS,,23,NIV,0
